"filename", "language", "C", "Markdown", "C++", "comment", "blank", "total"
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\8_queen\nqueen.class.c", "C", 58, 0, 0, 2, 6, 66
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\README.md", "Markdown", 0, 1, 0, 0, 1, 2
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.c", "C", 68, 0, 0, 6, 13, 87
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.class.c", "C", 46, 0, 0, 0, 1, 47
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.d1.c", "C", 38, 0, 0, 0, 7, 45
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.d2.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.d3.nc.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.d4.nc.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.direcrted.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.figuring.out.c", "C", 46, 0, 0, 0, 8, 54
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.internet.c", "C", 106, 0, 0, 0, 21, 127
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\bfs.undirected.disconnected.c", "C", 72, 0, 0, 100, 31, 203
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\dfs.c", "C", 44, 0, 0, 2, 1, 47
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\dfs.d1.c", "C", 27, 0, 0, 0, 7, 34
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bfs_dfs\dfs.lite.c", "C", 19, 0, 0, 0, 5, 24
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\bubbleSort.c", "C", 37, 0, 0, 0, 10, 47
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dijkstra.programiz.c", "C", 53, 0, 0, 105, 23, 181
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.c", "C", 73, 0, 0, 5, 11, 89
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.firstattempt.c", "C", 81, 0, 0, 4, 14, 99
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.p1.c", "C", 48, 0, 0, 2, 9, 59
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.p2.c", "C", 49, 0, 0, 1, 10, 60
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.p3.path.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.p4.path.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\djikstra\dj.p5.path.c", "C", 0, 0, 0, 0, 1, 1
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\floyd_warshal\fw.c", "C", 32, 0, 0, 7, 7, 46
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\floyd_warshal\fw.minimal.c", "C", 24, 0, 0, 7, 2, 33
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\floyd_warshal\fw.p1.c", "C", 23, 0, 0, 0, 3, 26
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\graph_coloring\gc.top.c", "C", 59, 0, 0, 0, 2, 61
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\knapsack_job\job.squencing.c", "C", 6, 0, 0, 0, 3, 9
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\knapsack_job\job_sequencing.c", "C", 1, 0, 0, 0, 1, 2
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\knapsack_job\knap.snack.c", "C", 81, 0, 0, 1, 16, 98
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\knapsack_job\knapsack.c", "C", 66, 0, 0, 0, 16, 82
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\knapsack_job\knapsack.for.real.c", "C", 62, 0, 0, 0, 16, 78
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\kruskal\kruskal.c", "C", 81, 0, 0, 11, 12, 104
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\Chain.c", "C", 51, 0, 0, 0, 13, 64
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\Knapsack.c", "C", 40, 0, 0, 1, 17, 58
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\bellman (1).c", "C", 67, 0, 0, 0, 18, 85
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\bellman.c", "C", 64, 0, 0, 2, 18, 84
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\binary.c", "C", 53, 0, 0, 0, 16, 69
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\floyd.c", "C", 75, 0, 0, 0, 8, 83
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\fwd (1)\bellman.c", "C", 65, 0, 0, 0, 19, 84
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\fwd (1)\knapsack.c", "C", 141, 0, 0, 0, 19, 160
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\fwd (1)\nqueen.c", "C", 58, 0, 0, 2, 7, 67
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\fwd (1)\queens.c", "C", 58, 0, 0, 1, 8, 67
"d:\Web_Developement_Base\_college\lab_exam_practice\daa\labImplementation\knap.c", "C", 41, 0, 0, 1, 17, 59
